City_ID,City,Lat,Lng,Feels Like,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
807,Rocha,-34.4833,-54.3333,65.91,65.35,65.35,92,87,9.46,UY,light rain,2021-12-05 20:27:31
808,Zonguldak,41.25,31.8333,49.12,50.81,50.81,75,94,3.6,TR,overcast clouds,2021-12-05 20:27:32
809,Uray,60.1247,64.7758,-14.69,-14.69,-14.69,100,55,2.93,RU,broken clouds,2021-12-05 20:27:32
810,Barra Patuca,15.8,-84.2833,86.05,82.02,82.02,68,14,5.55,HN,few clouds,2021-12-05 20:27:32
811,Kupino,54.3663,77.2981,14.77,24.44,24.44,93,92,9.31,RU,overcast clouds,2021-12-05 20:27:33
812,Vestmanna,62.1564,-7.1664,25.27,32.92,32.92,69,75,9.22,FO,broken clouds,2021-12-05 20:27:33
813,Chatham,51.3789,0.5279,41.65,39.79,43.81,92,29,1.99,GB,scattered clouds,2021-12-05 20:27:33
814,Camacha,33.0833,-16.3333,60.89,61.54,63.36,63,75,12.66,PT,broken clouds,2021-12-05 20:27:34
815,Mitu,1.1983,-70.1733,90.75,85.1,85.1,64,71,3.89,CO,broken clouds,2021-12-05 20:27:34
816,Ratnagiri,16.9833,73.3,74.46,73.81,73.81,76,0,3.47,IN,clear sky,2021-12-05 20:27:35
817,Newport Beach,33.6189,-117.9289,61.68,55.67,75.72,72,1,1.99,US,haze,2021-12-05 20:27:35
818,Vangaindrano,-23.35,47.6,76.78,75.27,75.27,91,9,7.07,MG,clear sky,2021-12-05 20:27:35
819,Barabai,-2.5833,115.3833,75.42,73.78,73.78,97,100,3.06,ID,overcast clouds,2021-12-05 20:27:36
820,Kutum,14.2,24.6667,65.3,67.75,67.75,23,9,9.71,SD,clear sky,2021-12-05 20:27:36
821,Sai Buri,6.7013,101.6168,74.62,73.87,73.87,78,85,2.28,TH,overcast clouds,2021-12-05 20:27:36
822,South Venice,27.0531,-82.4243,79.09,75.22,82.98,69,1,8.05,US,clear sky,2021-12-05 20:27:37
823,Saint-Francois,46.4154,3.9054,30.87,37.67,38.64,91,90,11.5,FR,overcast clouds,2021-12-05 20:28:37
824,Asfi,32.2994,-9.2372,59.61,60.13,60.13,80,0,21.61,MA,clear sky,2021-12-05 20:28:37
825,Majene,-3.5403,118.9707,78.28,76.86,76.86,86,100,6.46,ID,very heavy rain,2021-12-05 20:28:38
826,Wanning,18.8003,110.3967,61.86,62.44,62.44,74,52,9.19,CN,broken clouds,2021-12-05 20:28:38
827,Caravelas,-17.7125,-39.2481,78.84,78.84,78.84,71,0,7.09,BR,clear sky,2021-12-05 20:28:39
828,Aliwal North,-30.6937,26.7114,63.91,64.53,64.53,69,100,20.62,ZA,moderate rain,2021-12-05 20:28:39
829,Alvand,36.3187,49.1678,35.15,39.13,39.13,34,100,5.39,IR,overcast clouds,2021-12-05 20:28:39
830,Andros Town,24.7,-77.7667,84.33,80.56,80.56,73,10,10.56,BS,clear sky,2021-12-05 20:28:39
831,Karpogory,64.0019,44.4451,-2.18,5.88,5.88,98,61,4.05,RU,broken clouds,2021-12-05 20:28:40
832,Kainantu,-6.2887,145.8655,58.01,57.99,57.99,96,62,4.36,PG,broken clouds,2021-12-05 20:28:40
833,Danshui,22.7984,114.4672,58.68,56.66,64.02,46,56,3.87,CN,broken clouds,2021-12-05 20:28:41
834,Onverwacht,5.5833,-55.1833,76.8,74.98,82.26,94,40,8.05,SR,thunderstorm with light rain,2021-12-05 20:28:41
835,Aksu,41.1231,80.2644,27.0,30.87,30.87,44,100,3.8,CN,overcast clouds,2021-12-05 20:28:41
836,Lethem,3.3803,-59.7968,93.29,90.0,90.0,47,100,11.16,GY,overcast clouds,2021-12-05 20:28:41
837,Maniitsoq,65.4167,-52.9,14.41,27.01,27.01,85,100,28.43,GL,light snow,2021-12-05 20:28:42
